program,year,semester,name,code,credit,is_elective
Bachelor of Science in Landscape Architecture,1,2,History and Theory of Landscape Architecture I,LA151,4,false
Bachelor of Science in Landscape Architecture,1,2,Principles of Landscape Design,LA154,4,false
Bachelor of Science in Landscape Architecture,1,2,Communication Skills,CS102,8,false
Bachelor of Science in Landscape Architecture,1,2,Development Perspectives II,DS102,8,false
Bachelor of Science in Landscape Architecture,1,2,Topographical Surveying,GM112,8,false
Bachelor of Science in Landscape Architecture,1,2,Industrial Training I Landscape Construction/ Botany Works.,LA171,8,false
Bachelor of Science in Landscape Architecture,2,1,Studio Design Project III,LA213,20,false
Bachelor of Science in Landscape Architecture,2,1,Design Graphics II,LA223,8,false
Bachelor of Science in Landscape Architecture,2,1,Landscape Construction and Services III,LA233,8,false
Bachelor of Science in Landscape Architecture,2,1,Landscape Material III,LA243,8,false
Bachelor of Science in Landscape Architecture,2,1,History and Theory of Landscape Architecture II,LA252,8,false
Bachelor of Science in Landscape Architecture,2,1,Applied Plant ecology and Taxonomy,LA262,12,false
Bachelor of Science in Landscape Architecture,2,1,Geography and Landscape Sciences I,LA263,8,false
Bachelor of Science in Landscape Architecture,2,2,Studio Design Project IV,LA214,20,false
Bachelor of Science in Landscape Architecture,2,2,Design Graphics III,LA224,8,false
Bachelor of Science in Landscape Architecture,2,2,Landscape Construction and Services IV,LA234,8,false
Bachelor of Science in Landscape Architecture,2,2,Landscape Structures I,LA237,8,false
Bachelor of Science in Landscape Architecture,2,2,Landscape Materials IV,LA244,8,false
Bachelor of Science in Landscape Architecture,2,2,Geography and Landscape Science II,LA264,8,false
Bachelor of Science in Landscape Architecture,2,2,Industrial Training II,LA272,8,false
Bachelor of Science in Landscape Architecture,3,1,Studio Design Project V,LA315,20,false
Bachelor of Science in Landscape Architecture,3,1,Landscape Construction and Services V,LA335,8,false
Bachelor of Science in Landscape Architecture,3,1,Environment Planning and Development I,LA355,4,false
Bachelor of Science in Landscape Architecture,3,1,History and Theory of Landscape Architecture III,LA353,8,false
Bachelor of Science in Landscape Architecture,3,1,Landscape Structures II,LA 338,8,false
Bachelor of Science in Landscape Architecture,3,1,Professional Practice I,LA372,8,false
Bachelor of Science in Landscape Architecture,3,1,Landscape Infrastructure,LA 481,8,true
Bachelor of Science in Landscape Architecture,3,1,Landscape Urbanism,LA 482,8,true
Bachelor of Science in Landscape Architecture,3,1,Water Landscape,LA 483,8,true
Bachelor of Science in Landscape Architecture,3,1,Landscape Conservation,LA 484,8,true
Bachelor of Science in Landscape Architecture,3,2,Studio Design Project VI,LA316,20,false
Bachelor of Science in Landscape Architecture,3,2,Landscape Construction and Services VI,LA336,8,false
Bachelor of Science in Landscape Architecture,3,2,Environment Planning and Development II,LA356,4,false
Bachelor of Science in Landscape Architecture,3,2,Professional Practice II,LA375,8,false
Bachelor of Science in Landscape Architecture,3,2,Industrial Training III Professional Practice,LA373,8,false
Bachelor of Science in Landscape Architecture,3,2,Entrepreneurship,BB313,8,false
Bachelor of Science in Landscape Architecture,3,2,Research Methodology,LM238,8,false
Bachelor of Science in Landscape Architecture,4,1,Studio Design Project VII,LA417,32,false
Bachelor of Science in Landscape Architecture,4,1,Dissertation Part I,LA491,32,false
Bachelor of Science in Landscape Architecture,4,2,Dissertation Part II,LA492,60,false
Bachelor of Science in Interior Design,1,1,Interior Design Studio I,ID 111,20,false
Bachelor of Science in Interior Design,1,1,Interior Graphics I,ID 121,4,false
Bachelor of Science in Interior Design,1,1,History and Theory of Interior Design I,ID 151,4,false
Bachelor of Science in Interior Design,1,1,Interior Building Materials I,ID 145,8,false
Bachelor of Science in Interior Design,1,1,Building Construction I,AR 131,4,false
Bachelor of Science in Interior Design,1,1,Environmental Science I,AR 165,8,false
Bachelor of Science in Interior Design,1,1,English Language,CS 101,8,false
Bachelor of Science in Interior Design,1,1,Introduction to ICT,IS 161,8,false
Bachelor of Science in Interior Design,1,1,Development Perspectives I,DS 101,8,false
Bachelor of Science in Interior Design,1,1,Basic Mathematics,IS 149,8,false
Bachelor of Science in Interior Design,1,2,Interior Design Studio II,ID 112,20,false
Bachelor of Science in Interior Design,1,2,History and Theory of Interior Design II,ID 152,4,false
Bachelor of Science in Interior Design,1,2,Industrial Training I,ID 171,8,false
Bachelor of Science in Interior Design,1,2,Interior Graphics II,ID 122,4,false
Bachelor of Science in Interior Design,1,2,Interior Building Materials II,ID 146,8,false
Bachelor of Science in Interior Design,1,2,Building Structures I,AR 151,4,false
Bachelor of Science in Interior Design,1,2,Building Construction II,AR 132,4,false
Bachelor of Science in Interior Design,1,2,Development Perspectives II,DS 102,8,false
Bachelor of Science in Interior Design,1,2,Communication Skills,CS 102,8,false
Bachelor of Science in Interior Design,2,1,Interior Design Studio III,ID 213,20,false
Bachelor of Science in Interior Design,2,1,Fine Arts and Visual Communication I,ID 223,4,false
Bachelor of Science in Interior Design,2,1,History and Theory of Interior Design III,ID 253,4,false
Bachelor of Science in Interior Design,2,1,Furnishing and Fittings I,AR 243,8,false
Bachelor of Science in Interior Design,2,1,Building Services I,AR 357,8,false
Bachelor of Science in Interior Design,2,1,Environmental Science II,AR 266,8,false
Bachelor of Science in Interior Design,2,1,Introductions to Land Surveying,GM 111,8,false
Bachelor of Science in Interior Design,2,2,Interior Design Studio IV,ID 214,20,false
Bachelor of Science in Interior Design,2,2,Fine Arts and Visual Communication II,ID 224,4,false
Bachelor of Science in Interior Design,2,2,History and Theory of Interior Design IV,ID 254,4,false
Bachelor of Science in Interior Design,2,2,Furnishing and Fittings II,ID 244,8,false
Bachelor of Science in Interior Design,2,2,Industrial Training II,ID 272,8,false
Bachelor of Science in Interior Design,2,2,Professional Practice I,AR 225,8,false
Bachelor of Science in Interior Design,2,2,Environmental Science III,AR 267,8,false
Bachelor of Science in Interior Design,2,2,Basis of Quantity Surveying,CQ 220,8,false
Bachelor of Science in Interior Design,3,1,Interior Design Studio V,ID 315,20,false
Bachelor of Science in Interior Design,3,1,Interior Technology I,ID 341,4,false
Bachelor of Science in Interior Design,3,1,Construction and Detailing,ID 331,4,false
Bachelor of Science in Interior Design,3,1,Interior Product Design I,ID 318,8,false
Bachelor of Science in Interior Design,3,1,Architectural Professional Practice II,AR 326,8,false
Bachelor of Science in Interior Design,3,1,Building Services II,AR 358,8,false
Bachelor of Science in Interior Design,3,1,Topographical Surveying,GM 112,8,false
Bachelor of Science in Interior Design,3,1,Architectural Conservation,AR 491,8,true
Bachelor of Science in Interior Design,3,1,Urban Development and Housing,AR 492,8,true
Bachelor of Science in Interior Design,3,1,Architectural Science,AR 493,8,true
Bachelor of Science in Interior Design,3,2,Interior Design Studio VI,ID 316,20,false
Bachelor of Science in Interior Design,3,2,Furniture Design,ID 347,4,false
Bachelor of Science in Interior Design,3,2,Interior Technology II,ID 342,4,false
Bachelor of Science in Interior Design,3,2,Interior Product Design II,ID 319,8,false
Bachelor of Science in Interior Design,3,2,Industrial Training III,ID 373,8,false
Bachelor of Science in Interior Design,3,2,Research Methodology,LM 238,8,false
Bachelor of Science in Interior Design,4,1,Interior Design Studio VII,ID 417,24,false
Bachelor of Science in Interior Design,4,1,Portfolio Development,ID 461,4,false
Bachelor of Science in Interior Design,4,1,Dissertation Part I,ID 474,24,false
Bachelor of Science in Interior Design,4,1,Entrepreneurship,BB 313,8,false
Bachelor of Science in Interior Design,4,2,Dissertation Part II,ID 475,60,false
Bachelor of Science in Interior Design,4,2,Architectural Professional Practice III,AR 427,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,1,1,Basic Mathematics,IS 149,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,1,1,Introduction to Information and Communication Technology (IS),IS 161,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,1,1,Materials for Construction I,QC 121,10,false
Bachelor of Science in Quantity Surveying and Construction Economics,1,1,Engineering Mechanics,QC 111,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,1,1,Building Construction I,QC 122,10,false
Bachelor of Science in Quantity Surveying and Construction Economics,1,1,Principles of Economics,EC 100,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,1,1,Introduction to Land Surveying,GM 111,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,1,1,Development Perspectives I,DS 101,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,1,1,English Language,CS 101,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,1,2,Materials for Construction II,QC 125,10,false
Bachelor of Science in Quantity Surveying and Construction Economics,1,2,Communication Skills,CS 102,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,1,2,Building Construction II,QC 126,10,false
Bachelor of Science in Quantity Surveying and Construction Economics,1,2,Topographical Surveying,GM 112,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,1,2,Development Perspectives II,DS 102,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,1,2,Mechanics of Materials,QC 112,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,1,2,Computer Aided Designs,QC 114,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,1,2,Statistics and probability,IS 141,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,1,2,Industrial Training I,QC 153,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,2,1,Building Construction III,QC 222,10,false
Bachelor of Science in Quantity Surveying and Construction Economics,2,1,Construction of Transportation Infrastructures,QC 224,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,2,1,Design essentials for Reinforced Concrete Structures,QC 212,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,2,1,Measurement of Building Works I,QC 232,12,false
Bachelor of Science in Quantity Surveying and Construction Economics,2,1,Accounting Fundamentals,BB 111,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,2,1,Building Services I,QC 223,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,2,1,Elements of Law,LM 171,12,false
Bachelor of Science in Quantity Surveying and Construction Economics,2,1,Project Work I,QC 251,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,2,2,Design of Timber and Steel Structures,QC 213,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,2,2,Building Construction IV,QC 225,10,false
Bachelor of Science in Quantity Surveying and Construction Economics,2,2,Construction of Civil services Infrastructures,QC 226,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,2,2,Measurement of Building Works II,QC 239,12,false
Bachelor of Science in Quantity Surveying and Construction Economics,2,2,Business Law,LM 178,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,2,2,Building Services II,QC 227,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,2,2,Project Work II,QC 252,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,2,2,Industrial Training II,QC 253,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,3,1,Principles of Management,QC 341,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,3,1,Measurement of Building Works III,QC 332,12,false
Bachelor of Science in Quantity Surveying and Construction Economics,3,1,Measurement of Mechanical Installations,QC 333,12,false
Bachelor of Science in Quantity Surveying and Construction Economics,3,1,Estimating and Price Analysis,QC 336,12,false
Bachelor of Science in Quantity Surveying and Construction Economics,3,1,Procurement,QC 338,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,3,1,Measurement of Transportation Infrastructures,QC 334,12,false
Bachelor of Science in Quantity Surveying and Construction Economics,3,1,Project Work III,QC 351,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,3,2,Measurement of Civil Services Infrastructures,QC 330,12,false
Bachelor of Science in Quantity Surveying and Construction Economics,3,2,Construction Contracts,QC 337,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,3,2,Construction Economics I,QC 335,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,3,2,Measurement of External Works,QC 339,10,false
Bachelor of Science in Quantity Surveying and Construction Economics,3,2,Construction Management I,QC 342,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,3,2,Measurement of Electrical and Telecommunications Installations,QC 331,10,false
Bachelor of Science in Quantity Surveying and Construction Economics,3,2,Project Work IV,QC 352,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,3,2,Industrial Training III,QC 353,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,4,1,Research Methodology,LM 238,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,4,1,Construction Economics II,QC 435,10,false
Bachelor of Science in Quantity Surveying and Construction Economics,4,1,Professional Practice for quantity surveyors,QC 437,10,false
Bachelor of Science in Quantity Surveying and Construction Economics,4,1,Construction Management II,QC 442,10,false
Bachelor of Science in Quantity Surveying and Construction Economics,4,1,Entrepreneurship,BB 313,8,false
Bachelor of Science in Quantity Surveying and Construction Economics,4,1,Project Work V,QC 451,10,false
Bachelor of Science in Quantity Surveying and Construction Economics,4,1,Project Risk Management,CM 343,8,true
Bachelor of Science in Quantity Surveying and Construction Economics,4,1,Human Resource Management,QC 462,8,true
Bachelor of Science in Quantity Surveying and Construction Economics,4,1,International Construction Management,CM 431,8,true
Bachelor of Science in Quantity Surveying and Construction Economics,4,1,Introductions to Disaster Risk Management,DM 101,8,true
Bachelor of Science in Quantity Surveying and Construction Economics,4,2,Dissertation,QC 452,60,false
Bachelor of Science in Environmental Engineering,1,1,English Language,CS 101,8,false
Bachelor of Science in Environmental Engineering,1,1,Development Perspectives I,DS 101,8,false
Bachelor of Science in Environmental Engineering,1,1,Engineering Mathematics I,IS 143,8,false
Bachelor of Science in Environmental Engineering,1,1,Project I Introduction to Technical Report Writing,EE 143,8,false
Bachelor of Science in Environmental Engineering,1,1,Engineering Drawing I,EE 161,8,false
Bachelor of Science in Environmental Engineering,1,1,Workshop Training,EG 100,8,false
Bachelor of Science in Environmental Engineering,1,1,Basic Chemistry,ES 112,8,false
Bachelor of Science in Environmental Engineering,1,1,Introduction to Information and Communication Technology (ICT),IS 161,8,false
Bachelor of Science in Environmental Engineering,1,2,Introduction to Municipal and Industrial Service Engineering,MI 111,8,false
Bachelor of Science in Environmental Engineering,1,2,Engineering Mechanics I,EE 117,8,false
Bachelor of Science in Environmental Engineering,1,2,Soil Mechanics and Geology,EE 115,8,false
Bachelor of Science in Environmental Engineering,1,2,Construction Materials and Technology,EE 116,8,false
